File Name,Number of Hosts,Latency,0,1,2,4,8,16,32,64,128,256,512,1024,2048,4096,8192,16384,32768,65536,131072,262144,524288,1048576,2097152,4194304,8388608,16777216
20170322_190501.out,2,60.82,0.00,0.02,0.03,0.07,0.11,0.24,0.51,1.10,2.18,3.87,7.98,15.33,20.60,40.03,61.10,106.42,174.38,182.78,283.50,356.30,416.53,366.56,443.30,403.85,385.73,398.92
20170322_110501.out,1,0.33,0.00,1.55,3.34,8.73,18.43,34.17,60.98,152.38,133.47,261.96,718.60,667.26,1448.37,1291.10,2055.39,2482.33,2686.09,3813.09,5048.88,5535.00,5557.53,6163.39,6171.79,6542.19,4851.66,4828.97
20170323_010501.out,2,57.82,0.00,0.02,0.03,0.07,0.14,0.27,0.54,1.08,2.23,4.46,8.35,16.12,21.51,39.39,82.72,119.51,178.69,205.81,301.90,344.74,402.90,438.37,461.49,461.95,459.84,474.93
20170322_200501.out,2,46.49,0.00,0.02,0.04,0.08,0.17,0.34,0.67,1.35,2.51,4.79,9.62,16.83,21.01,38.90,67.42,121.56,204.26,210.32,297.52,334.30,402.55,408.77,414.08,425.34,415.37,442.01
20170322_120501.out,1,0.29,0.00,3.15,6.53,11.45,22.18,53.83,94.46,169.82,305.58,563.10,905.19,1308.21,1994.89,2020.22,2596.82,3208.77,3591.55,4506.13,5206.59,5853.03,6372.39,7090.76,7407.45,5647.30,4252.82,4843.69
20170322_204501.out,2,49.71,0.00,0.02,0.04,0.08,0.16,0.28,0.66,1.34,2.32,5.17,7.24,15.18,20.87,38.36,75.67,115.07,187.97,223.64,336.93,340.44,411.23,446.73,418.88,439.01,420.76,424.71
20170322_104501.out,1,0.37,0.00,2.07,3.77,10.17,19.89,35.37,77.86,134.42,255.11,487.85,725.47,926.07,1705.07,1475.17,2024.78,2577.32,2916.34,3341.80,4074.18,5230.24,4418.41,4869.17,5342.77,4283.39,3601.05,4588.06
20170322_152501.out,1,0.23,0.00,3.28,5.90,10.41,26.17,43.97,94.05,177.16,326.84,560.64,892.57,1304.67,1914.91,2076.16,3222.18,3726.07,4135.81,5323.48,5794.68,6583.10,7089.68,7416.91,7589.33,6401.83,5115.06,4871.17
20170322_174501.out,1,0.29,0.00,2.84,5.45,11.94,27.20,48.91,94.78,202.77,335.74,596.91,786.33,1187.25,1704.18,1779.13,2471.47,2807.76,3288.64,4021.63,5186.09,5760.84,6339.30,5502.73,5901.33,3907.32,3156.55,3486.41
20170322_234501.out,2,46.04,0.00,0.02,0.04,0.08,0.16,0.31,0.62,1.24,2.45,4.42,8.09,14.78,20.83,39.53,70.30,117.45,185.90,202.73,313.79,355.85,402.35,421.36,416.06,424.81,461.68,504.18
20170322_210501.out,2,76.76,0.00,0.01,0.03,0.06,0.14,0.25,0.55,1.09,2.37,4.46,8.35,15.97,21.89,40.09,75.20,111.17,183.51,198.51,296.86,363.07,412.97,463.50,401.14,419.89,454.70,419.80
20170323_024501.out,2,61.41,0.00,0.02,0.04,0.08,0.15,0.30,0.62,1.20,2.33,4.82,8.73,16.64,18.11,38.81,80.98,131.16,194.05,209.65,273.39,343.70,399.00,392.26,445.34,378.79,453.74,421.64
20170322_130501.out,1,0.52,0.00,1.62,3.17,6.36,12.94,22.44,41.49,73.10,130.28,242.22,374.17,534.94,773.67,838.89,1334.66,1689.92,1716.70,2084.31,2818.21,3234.42,3231.84,3327.31,3524.63,3497.64,2866.41,2951.82
20170322_102501.out,1,0.27,0.00,2.61,5.22,10.62,21.86,42.38,73.71,141.12,257.29,469.94,760.63,1091.10,1662.34,1758.03,2484.49,3090.74,3312.99,3989.65,5103.90,5952.46,5535.87,6075.65,6156.50,5985.68,4794.77,4784.75
20170322_202501.out,2,58.05,0.00,0.02,0.04,0.08,0.15,0.28,0.58,1.15,2.06,3.87,7.38,15.58,21.45,33.56,65.00,116.90,168.40,189.33,264.75,323.68,330.16,427.32,400.71,423.17,412.48,424.05
20170323_004501.out,2,46.95,0.00,0.02,0.04,0.08,0.14,0.28,0.59,1.18,2.29,4.36,8.95,16.69,18.63,37.50,68.94,119.86,183.60,189.68,283.70,315.72,411.46,398.82,401.17,365.23,381.31,419.55
20170323_030501.out,2,53.39,0.00,0.02,0.03,0.07,0.14,0.28,0.56,1.06,2.28,4.35,7.81,14.86,22.72,43.24,80.81,118.11,178.36,190.24,255.13,312.17,346.00,469.02,437.90,461.55,432.82,458.08
20170322_132501.out,1,0.28,0.00,2.43,4.99,9.90,23.85,43.29,86.57,141.63,292.40,499.15,882.19,1453.26,2039.84,1883.87,2656.40,3164.23,3729.09,4288.02,5436.70,6042.22,6283.38,6817.31,6826.00,5585.48,4589.50,4717.44
20170322_162501.out,1,0.27,0.00,2.72,4.37,11.22,20.11,43.60,83.61,156.29,273.07,497.21,756.98,1093.58,1702.06,1728.45,2366.78,2913.23,3166.64,4043.09,4908.60,5161.18,5940.79,6249.51,3465.89,3013.99,2759.43,2694.34
20170322_192501.out,2,50.84,0.00,0.02,0.03,0.07,0.14,0.29,0.56,0.90,1.82,3.45,7.78,14.93,21.07,40.30,79.21,106.69,178.05,189.58,288.12,293.16,361.96,435.71,454.11,382.68,418.51,400.05
20170322_170501.out,1,0.26,0.00,2.41,4.79,10.48,17.70,37.31,76.10,136.68,248.85,448.73,667.54,999.51,1532.50,1574.10,2184.68,2505.82,3471.23,3897.70,4600.49,5288.88,5592.85,6102.45,6537.59,4832.78,4417.17,2792.80
