File Name,Latency,CPU time (sec.),Max Memory (MB),Average Memory (MB),Total Requested Memory (MB),Delta Memory (MB),Max Swap (MB),Max Processes,Max Threads,Run time (sec.),Turnaround time (sec.),Protocols Seen,Number of Hosts,Hosts Used,Host Groups,Exclusive,0,1,2,4,8,16,32,64,128,256,512,1024,2048,4096,8192,16384,32768,65536,131072,262144,524288,1048576,2097152,4194304,8388608,16777216
480289.out,89.88,2742.76,93.30,66.51,-,-,712,11,13,1378,2974,SHM-TCP,2,1*cn364.scarf.rl.ac.uk-1*cn363.scarf.rl.ac.uk,scarf12-scarf12,1,0.00,0.01,0.02,0.04,0.08,0.17,0.33,0.67,1.31,2.57,4.78,9.73,16.04,26.38,43.77,47.72,40.58,58.71,75.50,84.72,94.80,100.03,102.18,101.97,100.00,88.41
480292.out,1.63,84.91,13.58,13.58,-,-,563,7,9,49,1664,SHM-IBV,2,1*cn375.scarf.rl.ac.uk-1*cn380.scarf.rl.ac.uk,scarf12-scarf12,1,0.00,0.58,1.17,2.33,4.64,9.02,17.58,34.08,63.35,80.43,149.73,242.90,398.40,640.69,952.52,1279.28,1756.86,2274.30,2663.09,2916.34,3081.44,3154.76,3187.21,3204.84,3043.73,3038.31
480346.out,0.21,56.00,13.45,13.45,-,-,563,7,9,32,5743,SHM,1,2*cn476.scarf.rl.ac.uk,scarf15,1,0.00,4.35,8.65,17.37,34.45,69.04,137.78,269.47,341.90,650.16,1130.24,1693.96,1747.07,2273.82,2605.49,2668.02,3502.96,4640.62,5249.68,5393.10,5631.49,5781.85,5840.66,5870.72,5878.99,3919.08
480361.out,0.21,59.35,13.41,13.41,-,-,562,7,9,33,1692,SHM,1,2*cn215.scarf.rl.ac.uk,scarf16,1,0.00,4.42,8.79,17.53,35.24,67.51,141.91,278.72,336.73,658.94,1150.24,1722.46,1735.41,2325.13,2780.25,2830.13,3593.38,4452.97,4583.28,5390.90,5611.51,5771.30,5822.24,5850.30,5802.99,3930.28
480298.out,0.11,65.06,13.45,13.45,-,-,563,7,9,48,1697,SHM,1,2*cn374.scarf.rl.ac.uk,scarf12,1,0.00,8.47,16.36,32.85,67.23,133.89,266.39,369.94,612.07,1258.76,2090.86,2747.15,2876.91,3923.84,4701.97,4953.96,6782.51,8224.77,9140.07,9087.27,9149.72,9037.83,6800.51,5404.35,3529.15,3507.85
480343.out,0.29,55.14,13.46,13.46,-,-,563,7,9,28,5603,SHM,1,2*cn476.scarf.rl.ac.uk,scarf15,1,0.00,3.14,6.26,12.69,25.43,50.18,106.89,212.36,240.04,465.45,810.45,1362.83,1365.33,1938.02,2256.67,2686.07,3897.76,4971.77,5269.15,5369.75,5618.89,5772.61,5815.85,5861.97,5867.94,3940.01
480293.out,1.68,86.00,13.57,13.57,-,-,563,7,9,48,1732,SHM-IBV,2,1*cn375.scarf.rl.ac.uk-1*cn380.scarf.rl.ac.uk,scarf12-scarf12,1,0.00,0.57,1.13,2.27,4.56,8.80,17.10,33.27,61.39,76.65,143.57,236.63,386.19,633.42,937.86,1275.19,1747.52,2265.81,2655.56,2911.14,3079.38,3153.84,3186.97,3204.69,3041.87,3035.42
480299.out,0.14,65.10,13.45,13.45,-,-,563,7,9,34,1748,SHM,1,2*cn374.scarf.rl.ac.uk,scarf12,1,0.00,8.37,16.31,33.61,66.12,133.75,260.96,369.94,640.80,1230.03,2141.14,2761.97,2919.46,3945.57,4620.09,4851.82,4812.90,4794.76,5232.65,5316.43,5551.58,5802.18,5725.03,5524.64,3706.43,3587.70
480354.out,1.48,48.00,13.58,13.58,-,-,563,7,9,30,1747,SHM-IBV,2,1*cn207.scarf.rl.ac.uk-1*cn215.scarf.rl.ac.uk,scarf16-scarf16,1,0.00,0.63,1.26,2.51,5.02,9.83,19.09,36.88,66.61,86.30,157.03,276.57,496.79,721.05,1114.48,1561.72,2680.57,3829.91,4692.73,5290.33,5647.71,5838.25,5950.82,5969.14,5551.42,5478.26
480286.out,0.11,66.53,13.46,13.46,-,-,563,7,9,35,3145,SHM,1,2*cn349.scarf.rl.ac.uk,scarf11,1,0.00,7.94,15.33,31.65,62.02,126.11,211.22,353.84,611.71,1199.77,2064.52,2413.67,2640.88,3627.19,4353.68,4617.16,6115.43,7404.36,8725.12,8604.69,8702.40,6862.64,5652.21,5496.76,3509.92,3463.08
480300.out,0.11,65.33,13.45,13.45,-,-,563,7,9,36,1782,SHM,1,2*cn380.scarf.rl.ac.uk,scarf12,1,0.00,8.18,15.89,33.16,64.65,132.64,256.51,380.39,608.80,1117.29,2078.13,2754.54,2869.85,3852.34,4579.41,4049.56,4004.58,4830.72,5313.04,5441.88,5618.79,5738.27,5820.53,5701.43,3674.64,3547.68
480342.out,0.20,61.00,13.40,13.40,-,-,562,7,9,35,5555,SHM,1,2*cn476.scarf.rl.ac.uk,scarf15,1,0.00,4.49,8.93,17.79,35.58,71.15,142.94,283.97,340.09,676.35,1183.82,1742.24,1765.90,2284.44,2768.97,2680.79,3865.18,5007.43,5276.92,5371.90,5596.10,5778.59,5840.19,5863.00,4929.73,3950.41
480355.out,1.43,48.00,13.57,13.57,-,-,563,7,9,25,1798,SHM-IBV,2,1*cn207.scarf.rl.ac.uk-1*cn215.scarf.rl.ac.uk,scarf16-scarf16,1,0.00,0.65,1.31,2.54,5.17,10.01,19.46,37.56,67.37,87.52,158.87,277.67,495.84,724.31,1118.30,1562.35,2708.46,3831.90,4695.71,5293.07,5649.43,5852.06,5948.29,5979.33,5534.93,5479.07
480294.out,1.73,84.86,13.57,13.57,-,-,563,7,9,47,1817,SHM-IBV,2,1*cn375.scarf.rl.ac.uk-1*cn374.scarf.rl.ac.uk,scarf12-scarf12,1,0.00,0.57,1.13,2.26,4.51,8.63,16.79,32.61,59.36,73.97,136.22,230.35,374.34,628.38,924.50,1270.58,1737.36,2257.22,2647.81,2907.06,3076.22,3152.24,3185.47,3203.95,3042.72,3038.02
