File Name,Latency,CPU time (sec.),Max Memory (MB),Average Memory (MB),Total Requested Memory (MB),Delta Memory (MB),Max Swap (MB),Max Processes,Max Threads,Run time (sec.),Turnaround time (sec.),Protocols Seen,Number of Hosts,Hosts Used,Host Groups,Exclusive,CPUs,0,1,2,4,8,16,32,64,128,256,512,1024,2048,4096,8192,16384,32768,65536,131072,262144,524288,1048576,2097152,4194304,8388608,16777216
484388.out,0.15,79.14,13.45,13.45,-,-,563,7,9,44,15028,SHM,1,2*cn071.scarf.rl.ac.uk,scarf10,1,1,0.00,7.12,13.97,20.03,60.32,105.61,218.80,331.82,543.81,1084.75,1835.95,2053.65,2250.24,3190.03,3822.01,3920.91,5431.57,6633.79,7502.58,7280.99,7210.13,7107.98,5433.03,4496.66,2918.71,2907.30
484391.out,0.33,75.00,13.45,13.45,-,-,563,7,9,38,15031,SHM,1,2*cn057.scarf.rl.ac.uk,scarf10,1,2,0.00,3.57,7.14,14.39,26.17,47.32,108.43,130.41,196.09,407.24,618.45,1087.48,1225.34,1616.50,2234.44,2548.55,3537.28,4213.99,4630.13,4515.25,4980.87,5024.81,5077.66,4133.37,3268.93,3206.85
484393.out,0.32,75.00,13.46,13.46,-,-,563,7,9,49,15077,SHM,1,2*cn065.scarf.rl.ac.uk,scarf10,1,2,0.00,3.06,6.68,14.31,28.67,56.81,105.22,135.02,214.36,438.26,687.13,1167.45,1292.11,1713.27,2280.70,2534.70,3463.39,4222.41,4584.12,4721.74,4861.30,5043.74,4947.01,4181.91,3254.60,3213.13
484394.out,0.13,78.18,13.46,13.46,-,-,563,7,9,51,15078,SHM,1,2*cn051.scarf.rl.ac.uk,scarf10,1,1,0.00,7.07,11.92,28.24,56.54,92.15,222.80,316.24,530.84,1041.18,1778.55,1999.02,2242.23,3268.95,3770.55,3193.37,5414.07,6749.07,7336.75,7177.41,7251.48,7226.16,5435.73,4523.79,2920.81,2943.05
484392.out,0.20,78.55,13.46,13.46,-,-,563,7,9,47,15079,SHM,1,2*cn057.scarf.rl.ac.uk,scarf10,1,1,0.00,6.86,13.93,21.19,60.09,80.96,222.03,313.92,552.62,1085.32,1788.65,2127.24,2384.51,3144.12,3763.19,3894.11,5386.59,6930.90,7430.96,7308.98,7300.76,7383.01,5373.95,4449.82,2932.56,2930.37
484425.out,0.30,100.00,13.46,13.46,-,-,563,7,9,51,17101,SHM,1,2*cn259.scarf.rl.ac.uk,scarf14,1,2,0.00,2.95,5.90,11.67,23.37,47.74,93.91,111.16,188.51,366.63,636.22,1025.28,1111.91,1500.37,2003.00,2270.23,2943.55,3451.90,3701.46,3852.23,3911.75,3955.37,3970.76,3960.56,2324.96,2328.45
484426.out,0.14,81.44,13.45,13.45,-,-,563,7,9,53,17171,SHM,1,2*cn259.scarf.rl.ac.uk,scarf14,1,1,0.00,6.55,13.16,25.60,52.29,101.67,185.51,268.91,450.51,820.84,1433.67,1995.13,2268.62,3116.31,3705.32,4163.79,5804.78,7400.81,7992.38,8622.31,8828.53,9012.54,9123.55,8503.92,2653.19,2609.61
484427.out,0.31,99.49,13.46,13.46,-,-,563,7,9,57,17245,SHM,1,2*cn259.scarf.rl.ac.uk,scarf14,1,2,0.00,2.93,5.88,11.61,23.51,46.24,91.23,110.37,189.84,358.23,613.45,1063.76,1092.41,1541.23,1998.84,2253.22,2930.42,3444.30,3706.67,3844.38,3916.77,3958.85,3969.18,3977.81,2332.06,2333.51
484428.out,0.12,81.20,13.45,13.45,-,-,563,7,9,42,17303,SHM,1,2*cn259.scarf.rl.ac.uk,scarf14,1,1,0.00,7.66,14.84,30.62,59.65,120.19,231.88,303.68,509.71,951.67,1627.33,2179.88,2361.83,3167.83,3708.68,4154.42,5821.02,7541.54,8143.84,8721.89,8907.18,9080.96,9181.30,8808.48,2661.23,2596.19
484429.out,0.33,100.00,13.46,13.46,-,-,563,7,9,66,17373,SHM,1,2*cn259.scarf.rl.ac.uk,scarf14,1,2,0.00,2.82,5.73,11.24,22.57,45.09,90.97,107.25,181.95,347.53,610.71,1109.73,1130.94,1578.27,2014.32,2266.11,2944.64,3443.71,3713.17,3844.82,3909.30,3956.49,3968.72,3973.27,2327.44,2329.14
484430.out,0.13,81.39,13.46,13.46,-,-,563,7,9,41,17430,SHM,1,2*cn259.scarf.rl.ac.uk,scarf14,1,1,0.00,6.86,13.48,27.44,54.70,107.47,204.15,309.74,479.63,902.60,1497.62,2143.94,2285.71,3143.82,3787.99,4192.96,5758.24,7563.41,8096.11,8700.21,8884.94,9072.47,9184.85,8783.62,2663.72,2600.63
484431.out,0.33,100.00,13.47,13.47,-,-,563,7,9,58,17504,SHM,1,2*cn259.scarf.rl.ac.uk,scarf14,1,2,0.00,2.88,5.71,11.56,23.02,45.55,89.76,121.96,193.76,364.35,611.16,1051.20,1104.12,1536.10,2003.49,2278.17,2904.96,3430.49,3697.35,3839.98,3905.66,3954.27,3962.43,3960.28,2328.36,2329.53
484432.out,0.13,81.52,13.46,13.46,-,-,563,7,9,53,17574,SHM,1,2*cn259.scarf.rl.ac.uk,scarf14,1,1,0.00,6.76,13.34,26.76,53.92,104.92,206.12,339.07,472.11,894.32,1504.22,2089.26,2285.71,3131.50,3749.84,4166.17,5758.75,7483.20,8151.31,8653.08,8854.18,9038.48,9146.16,8762.45,2658.85,2593.74
484433.out,0.32,99.46,13.46,13.46,-,-,563,7,9,53,17644,SHM,1,2*cn259.scarf.rl.ac.uk,scarf14,1,2,0.00,2.95,5.88,11.83,23.69,46.96,92.49,116.05,186.49,369.94,630.93,1044.50,1135.25,1577.96,2008.09,2239.51,2934.13,3436.89,3699.32,3853.62,3921.48,3960.56,3979.19,3983.97,2333.68,2336.02
484434.out,0.13,81.45,13.45,13.45,-,-,563,7,9,41,17701,SHM,1,2*cn259.scarf.rl.ac.uk,scarf14,1,1,0.00,6.86,13.42,27.26,54.51,105.96,212.62,331.82,465.88,883.14,1504.22,2109.17,2275.24,3127.61,3723.64,4115.16,5736.07,7496.25,8065.53,8594.18,8846.75,9017.30,9131.38,8586.85,2661.33,2602.53
484405.out,0.23,65.37,13.47,13.47,-,-,563,7,9,37,14510,SHM,1,2*cn363.scarf.rl.ac.uk,scarf12,1,2,0.00,3.98,7.98,15.83,31.79,63.46,127.43,147.25,249.09,472.65,764.04,1363.97,1444.54,1995.98,2613.81,2933.70,3927.31,4725.53,5289.99,5288.99,5502.79,5635.52,5826.70,5708.81,3671.70,3594.57
484406.out,0.11,73.29,13.45,13.45,-,-,563,7,9,51,14514,SHM,1,2*cn364.scarf.rl.ac.uk,scarf12,1,1,0.00,8.29,16.03,33.16,52.76,131.55,255.49,361.07,602.71,1227.08,2060.36,2576.91,2739.34,3720.25,4411.42,4412.01,6423.37,8022.52,8511.17,8666.74,8789.66,8991.83,8806.60,5675.35,3030.73,3030.41
484407.out,0.23,66.01,13.47,13.47,-,-,563,7,9,36,14567,SHM,1,2*cn363.scarf.rl.ac.uk,scarf12,1,2,0.00,4.07,8.03,16.38,32.67,65.07,128.26,156.53,248.91,490.66,792.11,1324.28,1492.71,2016.62,2589.95,2940.35,3935.03,4796.25,5317.92,5375.48,5598.29,5689.19,5776.39,5693.12,3673.94,3544.89
484408.out,0.11,74.04,13.46,13.46,-,-,563,7,9,39,14569,SHM,1,2*cn364.scarf.rl.ac.uk,scarf12,1,1,0.00,8.18,15.95,33.16,65.24,131.01,259.90,368.88,617.98,1223.42,1980.66,2739.80,2834.60,3818.22,4409.04,4456.72,6529.60,8109.51,8377.68,8649.16,8862.58,8984.73,8903.03,5448.29,3052.52,3009.93
484409.out,0.23,66.00,13.46,13.46,-,-,563,7,9,34,14617,SHM,1,2*cn363.scarf.rl.ac.uk,scarf12,1,2,0.00,4.13,8.21,16.48,32.89,65.64,130.68,151.26,234.27,492.19,782.43,1361.93,1471.26,2022.97,2589.13,2940.35,3962.99,4853.80,5297.18,5392.12,5607.11,5733.49,5745.05,5721.50,3681.46,3541.83
484410.out,0.11,73.14,13.46,13.46,-,-,563,7,9,49,14620,SHM,1,2*cn364.scarf.rl.ac.uk,scarf12,1,1,0.00,8.22,15.89,32.89,63.87,131.42,211.92,359.05,597.08,1205.41,2034.77,2727.94,2633.66,3779.91,4369.65,4454.75,6505.62,7853.21,8482.60,8774.40,8870.90,9180.04,8846.23,5606.30,3048.20,3030.91
484411.out,0.22,66.06,13.46,13.46,-,-,563,7,9,46,14665,SHM,1,2*cn363.scarf.rl.ac.uk,scarf12,1,2,0.00,4.02,8.02,16.06,32.19,64.39,127.68,140.01,248.66,474.51,768.34,1365.79,1418.90,2024.47,2624.80,2908.32,3972.30,4787.80,5350.10,5369.41,5589.19,5696.50,5748.96,5645.64,3655.88,3555.56
484412.out,0.11,73.11,13.46,13.46,-,-,563,7,9,47,14684,SHM,1,2*cn364.scarf.rl.ac.uk,scarf12,1,1,0.00,8.18,16.38,33.02,66.12,131.01,262.03,359.05,616.50,1211.12,2051.08,2704.52,2797.81,3887.07,4446.43,4558.07,6610.28,8223.74,8823.35,9010.63,9070.22,9256.52,8982.17,5738.28,3028.50,3029.57
484413.out,0.23,65.51,13.46,13.46,-,-,563,7,9,34,14716,SHM,1,2*cn363.scarf.rl.ac.uk,scarf12,1,2,0.00,4.01,8.03,16.03,31.98,64.39,128.26,152.79,242.88,495.76,765.32,1363.97,1466.92,1996.95,2589.03,2888.19,3964.73,4811.75,5297.74,5347.60,5578.33,5703.56,5839.48,5675.72,3688.82,3580.36
484414.out,0.11,73.17,13.46,13.46,-,-,563,7,9,38,14754,SHM,1,2*cn364.scarf.rl.ac.uk,scarf12,1,1,0.00,8.26,16.03,33.02,58.45,131.55,257.55,361.07,597.08,1227.08,1973.03,2724.31,2747.15,3725.75,4363.25,4372.42,6447.86,7976.63,8741.85,8752.58,8916.39,9195.36,8871.90,5777.26,3024.30,3016.13
484389.out,0.30,74.56,13.47,13.47,-,-,563,7,9,51,15025,SHM,1,2*cn054.scarf.rl.ac.uk,scarf10,1,2,0.00,2.99,7.10,14.29,28.14,44.88,101.07,115.47,214.00,405.22,717.59,1088.64,1291.30,1685.51,2283.64,2549.54,3409.16,4136.33,4566.03,4743.38,4894.86,5037.76,4969.72,4227.47,3273.77,3208.94
484385.out,0.33,75.00,13.46,13.46,-,-,563,7,9,39,15026,SHM,1,2*cn059.scarf.rl.ac.uk,scarf10,1,2,0.00,3.32,7.13,14.34,28.85,55.08,103.77,128.22,211.75,424.98,693.06,1176.00,1263.71,1588.52,2303.87,2580.51,3539.28,4114.42,4674.03,4655.58,4804.20,4955.51,5032.47,4163.67,3232.44,3211.93
484387.out,0.30,75.09,13.47,13.47,-,-,563,7,9,50,15026,SHM,1,2*cn051.scarf.rl.ac.uk,scarf10,1,2,0.00,3.03,7.10,14.29,28.69,50.85,92.75,123.17,222.95,419.50,723.42,1143.50,1262.93,1665.46,2247.23,2544.59,3441.61,4125.82,4668.01,4716.48,4888.55,5049.31,5035.68,4176.91,3250.30,3195.21
484386.out,0.17,78.35,13.45,13.45,-,-,563,7,9,43,15027,SHM,1,2*cn065.scarf.rl.ac.uk,scarf10,1,1,0.00,7.01,13.88,23.34,56.09,110.92,191.90,328.21,585.48,1089.94,1874.60,2053.65,2170.07,3097.75,3812.01,3907.70,5508.50,6872.66,7269.56,7279.50,7304.97,7375.18,5534.41,4514.61,2909.32,2941.45
484390.out,0.17,78.48,13.45,13.45,-,-,563,7,9,48,15027,SHM,1,2*cn064.scarf.rl.ac.uk,scarf10,1,1,0.00,6.99,14.07,25.87,56.34,113.48,221.84,331.61,548.77,1084.75,1874.60,1941.69,2332.24,3049.32,3766.00,3835.21,5422.47,6626.74,7454.26,7299.70,7288.57,7413.09,5377.99,4479.93,2950.81,2955.22
484440.out,0.21,70.30,13.46,13.46,-,-,563,7,9,37,4164,SHM,1,2*cn533.scarf.rl.ac.uk,scarf15,1,1,0.00,4.33,8.65,17.26,34.61,69.38,139.36,195.87,322.93,606.46,1083.88,1647.96,1621.54,2112.02,2363.87,2687.50,3430.89,4393.67,4709.00,4866.95,5015.73,5147.29,5098.21,5082.26,3601.63,3270.76
484441.out,0.34,55.08,13.46,13.46,-,-,563,7,9,36,4172,SHM,1,2*cn528.scarf.rl.ac.uk,scarf15,1,2,0.00,2.70,5.40,10.88,21.80,42.98,86.93,93.89,163.76,312.00,559.26,932.71,1235.78,1869.89,2582.60,2899.44,3964.97,5029.96,5299.42,5435.90,5666.78,5792.50,5856.21,5857.96,5871.41,3981.03
484442.out,0.20,71.00,13.46,13.46,-,-,563,7,9,51,4196,SHM,1,2*cn481.scarf.rl.ac.uk,scarf15,1,1,0.00,4.48,8.87,17.74,35.81,72.32,143.66,280.55,346.30,651.81,1147.66,1717.76,1685.08,1878.90,2656.83,2721.88,3573.44,4434.70,4732.97,4885.14,5054.38,5138.73,5085.80,5072.83,3548.81,3293.04
484444.out,0.22,70.25,13.45,13.45,-,-,563,7,9,49,4214,SHM,1,2*cn533.scarf.rl.ac.uk,scarf15,1,1,0.00,4.16,8.29,16.69,34.13,68.27,136.24,240.26,330.86,619.67,1076.76,1611.33,1575.08,2168.34,2609.33,2648.78,3478.05,4470.36,4717.26,4909.80,5058.27,5139.17,5080.56,5025.09,3603.63,3277.42
