File Name,Latency,CPU time (sec.),Max Memory (MB),Average Memory (MB),Total Requested Memory (MB),Delta Memory (MB),Max Swap (MB),Max Processes,Max Threads,Protocols Seen,Number of Hosts,Hosts Used,Host Groups,Exclusive,0,1,2,4,8,16,32,64,128,256,512,1024,2048,4096,8192,16384,32768,65536,131072,262144,524288,1048576,2097152,4194304,8388608,16777216
4003813.out,11.08,112.88,58.15,45.63,-,-,8791,10,12,SHM-TCP,2,1*host208.jc.rl.ac.uk-1*host205.jc.rl.ac.uk,ivybridge512G-ivybridge512G,1,0.00,0.09,0.17,0.34,0.65,1.27,2.54,5.07,9.86,19.19,36.74,68.71,119.74,197.20,293.17,429.67,428.74,608.91,790.68,947.25,1047.41,1110.59,1143.10,1161.28,1167.42,1172.31
4003844.out,10.70,112.73,55.43,42.42,-,-,2642,10,12,SHM-TCP,2,1*host060.jc.rl.ac.uk-1*host166.jc.rl.ac.uk,ivybridge128G-ivybridge128G,1,0.00,0.09,0.17,0.33,0.65,1.27,2.52,5.01,9.78,19.13,36.46,66.06,106.64,172.23,247.97,374.85,396.35,570.98,753.41,923.82,1036.23,1102.28,1140.03,1156.56,1166.71,1172.81
4003820.out,0.40,68.85,87.74,43.90,-,-,2553,9,11,SHM,1,2*host205.jc.rl.ac.uk,ivybridge512G,1,0.00,2.27,4.54,9.37,18.12,36.55,76.01,85.48,151.28,299.72,507.06,571.11,1214.98,1708.80,2090.33,2206.30,2988.86,3430.58,3775.46,3997.22,4086.32,4146.38,4170.84,4174.74,4101.89,3500.61
4003845.out,13.20,113.29,52.86,40.34,-,-,8785,10,12,SHM-TCP,2,1*host166.jc.rl.ac.uk-1*host060.jc.rl.ac.uk,ivybridge128G-ivybridge128G,1,0.00,0.07,0.15,0.29,0.56,1.10,2.19,4.37,8.52,16.60,31.77,57.30,97.37,153.51,225.96,352.49,353.04,517.98,718.54,889.58,1000.25,1091.12,1134.32,1155.13,1166.68,1172.76
4003814.out,12.58,113.17,58.66,46.17,-,-,2647,10,12,SHM-TCP,2,1*host205.jc.rl.ac.uk-1*host208.jc.rl.ac.uk,ivybridge512G-ivybridge512G,1,0.00,0.08,0.15,0.30,0.58,1.12,2.23,4.44,8.74,17.10,33.18,62.05,108.48,178.62,266.01,407.26,376.00,561.61,749.90,916.96,1030.82,1100.19,1139.09,1158.23,1167.38,1172.69
4003817.out,0.13,73.31,90.93,44.59,-,-,8700,9,11,SHM,1,2*host208.jc.rl.ac.uk,ivybridge512G,1,0.00,6.69,13.25,26.96,53.56,104.83,208.30,271.33,481.43,901.01,1525.51,2189.79,2334.90,3286.66,3770.55,4212.23,5871.35,3191.55,3558.00,3711.12,3766.07,3818.73,3832.38,3842.01,3791.48,3316.34
4003815.out,10.72,112.68,58.80,46.23,-,-,2647,10,12,SHM-TCP,2,1*host205.jc.rl.ac.uk-1*host208.jc.rl.ac.uk,ivybridge512G-ivybridge512G,1,0.00,0.09,0.18,0.35,0.66,1.29,2.57,5.13,9.97,19.63,37.51,68.72,119.86,198.21,298.36,430.17,436.59,601.88,787.89,946.21,1048.05,1110.31,1143.10,1161.19,1168.10,1173.08
4003818.out,0.39,69.25,87.77,43.93,-,-,2553,9,11,SHM,1,2*host205.jc.rl.ac.uk,ivybridge512G,1,0.00,2.36,4.77,9.48,18.91,37.68,74.05,92.05,156.60,313.58,532.50,544.03,1221.05,1713.27,2069.27,2232.65,2970.27,3430.40,3775.97,4000.22,4075.69,4129.50,4152.83,4156.85,4059.82,3486.14
4003819.out,0.38,68.76,90.93,44.60,-,-,8700,9,11,SHM,1,2*host208.jc.rl.ac.uk,ivybridge512G,1,0.00,2.33,4.77,9.74,19.41,37.41,73.35,94.85,171.81,323.39,527.90,588.46,1197.84,1896.74,2078.07,2284.36,2998.33,3463.57,3758.77,4018.03,4100.38,4151.26,4173.06,4180.51,4118.76,3495.19
5153804.out,12.84,112.85,52.84,40.32,-,-,8784,10,12,SHM-TCP,2,1*host289.jc.rl.ac.uk-1*host281.jc.rl.ac.uk,haswell256G-haswell256G,1,0.00,0.07,0.15,0.29,0.59,1.16,2.32,4.61,8.81,16.80,32.64,68.70,122.79,185.81,257.29,405.66,375.15,534.15,745.26,909.44,1032.36,1101.70,1139.14,1161.66,1166.66,1171.39
