File Name,T/V,N,NB,P,Q,Time,Gflops,CPU time (sec.),Max Memory (MB),Average Memory (MB),Total Requested Memory (MB),Delta Memory (MB),Max Swap (MB),Max Processes,Max Threads,Run time (sec.),Turnaround time (sec.),Protocols Seen,Number of Hosts,Hosts Used,Host Groups,Start Time,Exclusive
482593.out,WR11R2C4,44640,180,2,2,1673.74,3.543e+01,6834.00,15546.25,14840.18,-,-,16439,13,15,1712,3497,SHM-IBV,2,2*cn055.scarf.rl.ac.uk-2*cn056.scarf.rl.ac.uk,scarf10-scarf10,Thu Mar 23 12:01:01 2017,1
482688.out,WR11R2C4,44640,180,2,2,449.94,1.318e+02,1901.33,15575.72,13543.09,-,-,16556,12,14,487,3506,SHM,1,4*cn203.scarf.rl.ac.uk,scarf16,Thu Mar 23 12:21:48 2017,1
482596.out,WR11R2C4,44640,180,2,2,1672.38,3.546e+01,6832.00,15546.84,14852.53,-,-,16440,13,15,1710,3513,SHM-IBV,2,2*cn049.scarf.rl.ac.uk-2*cn071.scarf.rl.ac.uk,scarf10-scarf10,Thu Mar 23 12:01:17 2017,1
482594.out,WR11R2C4,44640,180,2,2,1673.85,3.543e+01,6834.09,15552.92,14865.11,-,-,16440,13,15,1711,3513,SHM-IBV,2,2*cn065.scarf.rl.ac.uk-2*cn059.scarf.rl.ac.uk,scarf10-scarf10,Thu Mar 23 12:01:17 2017,1
482595.out,WR11R2C4,44640,180,2,2,1674.88,3.541e+01,6838.00,15547.83,14638.36,-,-,16440,13,15,1712,3513,SHM-IBV,2,2*cn054.scarf.rl.ac.uk-2*cn057.scarf.rl.ac.uk,scarf10-scarf10,Thu Mar 23 12:01:17 2017,1
482678.out,WR11R2C4,44640,180,2,2,475.17,1.248e+02,2000.14,15579.92,13455.27,-,-,16498,13,15,517,3516,SHM-TCP,2,2*cn216.scarf.rl.ac.uk-2*cn212.scarf.rl.ac.uk,scarf16-scarf16,Thu Mar 23 12:21:31 2017,1
482597.out,WR11R2C4,44640,180,2,2,1675.81,3.539e+01,6844.30,15550.30,14868.04,-,-,16439,13,15,1719,3529,SHM-IBV,2,2*cn064.scarf.rl.ac.uk-2*cn079.scarf.rl.ac.uk,scarf10-scarf10,Thu Mar 23 12:01:32 2017,1
482689.out,WR11R2C4,44640,180,2,2,449.18,1.320e+02,1905.60,15573.79,13525.50,-,-,16556,12,14,479,3639,SHM,1,4*cn199.scarf.rl.ac.uk,scarf16,Thu Mar 23 12:24:00 2017,1
482679.out,WR11R2C4,44640,180,2,2,473.83,1.252e+02,1996.49,15575.79,13319.71,-,-,16500,13,15,512,3661,SHM-TCP,2,2*cn217.scarf.rl.ac.uk-2*cn209.scarf.rl.ac.uk,scarf16-scarf16,Thu Mar 23 12:23:58 2017,1
482647.out,WR11R2C4,44640,180,2,2,926.16,6.403e+01,3833.00,15685.30,14640.85,-,-,22670,12,18,974,4006,SHM,1,4*cn404.scarf.rl.ac.uk,scarf13,Thu Mar 23 12:22:07 2017,1
482690.out,WR11R2C4,44640,180,2,2,451.08,1.315e+02,1905.90,15575.83,13539.27,-,-,16556,12,14,490,4022,SHM,1,4*cn216.scarf.rl.ac.uk,scarf16,Thu Mar 23 12:30:21 2017,1
482680.out,WR11R2C4,44640,180,2,2,474.45,1.250e+02,1998.48,15578.34,13323.47,-,-,16499,13,15,510,4031,SHM-TCP,2,2*cn212.scarf.rl.ac.uk-2*cn203.scarf.rl.ac.uk,scarf16-scarf16,Thu Mar 23 12:30:07 2017,1
482635.out,WR11R2C4,44640,180,2,2,992.53,5.975e+01,4102.32,15556.23,14485.82,-,-,16406,13,15,1027,4122,SHM-TCP,2,2*cn433.scarf.rl.ac.uk-2*cn434.scarf.rl.ac.uk,scarf13-scarf13,Thu Mar 23 12:22:55 2017,1
482628.out,WR11R2C4,44640,180,2,2,1317.43,4.502e+01,5378.00,15541.10,14795.01,-,-,16449,12,14,1350,4140,SHM,1,4*cn365.scarf.rl.ac.uk,scarf12,Thu Mar 23 12:17:51 2017,1
482691.out,WR11R2C4,44640,180,2,2,449.95,1.318e+02,1901.16,15575.96,13541.08,-,-,16556,12,14,487,4164,SHM,1,4*cn209.scarf.rl.ac.uk,scarf16,Thu Mar 23 12:32:46 2017,1
